Location name,Amount spent (PYG)
Alto Paraguay Department,8492
Alto Paraná Department,1009920
Amambay Department,216422
Asunción,955423
Boquerón department,41173
Caaguazú Department,443477
Caazapá Department,106549
Canindeyú Department,82139
Central Department,2685026
Concepción Department (Paraguay),194663
Cordillera Department,184266
Guairá Department,129939
Itapúa Department,349146
Misiones Department,119541
Paraguarí Department,146921
Presidente Hayes Department,119016
San Pedro Department,145763
Unknown,229
Ñeembucú Department,56854
