Location name,Amount spent (NZD)
Auckland Region,3512
Bay of Plenty Region,481
Canterbury,1179
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,316
Manawatu-Wanganui,532
Marlborough Region,≤100
Nelson Province,≤100
Northland Region,287
Otago,435
Southland,202
Taranaki,235
Tasman District,≤100
Tokelau,≤100
Unknown,≤100
Waikato,995
Wellington Region,769
West Coast,≤100
