Location name,Amount spent (PYG)
Alto Paraguay Department,31029
Alto Paraná Department,3146301
Amambay Department,387776
Asunción,2815249
Boquerón department,110868
Caaguazú Department,1343565
Caazapá Department,289620
Canindeyú Department,266123
Central Department,9866762
Concepción Department (Paraguay),396800
Cordillera Department,711851
Guairá Department,365943
Itapúa Department,1480838
Misiones Department,597679
Paraguarí Department,349639
Presidente Hayes Department,543678
San Pedro Department,441873
Unknown,752
Ñeembucú Department,150142
