Location name,Amount spent (NOK)
Akershus,7458
Aust-Agder,742
Buskerud,1871
Finnmark,625
Hedmark,1331
Hordaland,3946
Møre og Romsdal,1716
Nord-Trøndelag,1511
Nordland,1535
Oppland,1442
Oslo,9631
Rogaland,2849
Sogn og Fjordane,761
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,5435
Telemark,1177
Troms,1362
Unknown,≤100
Vest-Agder,1899
Vestfold,1327
Østfold,4334
