Location name,Amount spent (RON)
Alba County,657
Arad County,896
Argeș County,1130
Bacău County,1471
Bihor County,1148
Bistrița-Năsăud County,530
Botoșani County,635
Brașov County,1742
Brăila County,660
Bucharest,9018
Buzău County,894
Caraș-Severin County,539
Cluj County,2538
Constanța County,1633
Covasna County,364
Călărași County,368
Dolj County,1090
Dâmbovița County,855
Galați County,993
Giurgiu County,363
Gorj County,725
Harghita County,623
Hunedoara County,998
Ialomița County,362
Iași County,2449
Ilfov County,1153
Maramureș County,1146
Mehedinți County,409
Mureș County,1395
Neamț County,1892
Olt County,548
Prahova County,1926
Satu Mare County,790
Sibiu County,905
Suceava County,1453
Sălaj County,464
Teleorman County,389
Timiș County,1816
Tulcea County,339
Unknown,146
Vaslui County,494
Vrancea County,571
Vâlcea County,757
