Location name,Amount spent (USD)
Al Anbar Governorate,121
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,397
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,126
Dohuk Governorate,144
Erbil Governorate,417
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,106
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,168
Saladin Governorate,≤100
Sulaymaniyah Governorate,1060
Unknown,≤100
Wasit Governorate,≤100
