Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,514
Cerro Largo Department,≤100
Colonia Department,154
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,266
Montevideo Department,4971
Paysandú Department,≤100
Rivera Department,1145
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,168
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,120
Treinta y Tres Department,2677
