Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
65929129383,Røde Kors,Røde Kors,10226,52
26458152911,SOS Børnebyerne,SOS Børnebyerne,5196,21
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,3372,21
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,3202,23
12787473132,Berlingske,Berlingske,3157,18
59143726810,Psykiatrifonden,Psykiatrifonden,2914,5
399210657232918,PlanBørnefonden,PlanBørnefonden,2885,24
72672361910,Børns Vilkår,Børns Vilkår,2694,14
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,2627,18
167891603415958,Lederne,Lederne,2622,12
55365680705,Greenpeace Danmark,Greenpeace Danmark,2369,45
17428770950,RÆSON,RÆSON,1707,1
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,1210,52
304554445813,Videncentret Bolius,Videncentret Bolius,1138,12
133707013355759,Danner,Danner,1075,1
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,980,10
102154048301476,Lederstof.dk,Lederne,904,29
33588644626,World Animal Protection Danmark,World Animal Protection Danmark,820,4
144965885963,Oxfam Danmark,Oxfam Danmark,814,11
304554445813,Videncentret Bolius,Bolius,743,3
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,659,16
867877683280051,Weekendavisen,Weekendavisen,643,10
178362315106,European Parliament,European Parliament,640,11
41459763029,Socialdemokratiet,Socialdemokratiet,636,12
377809518910165,Netcompany,Netcompany,626,5
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,597,9
246977185497434,Plastic Change,Plastic Change,587,26
63691965101,UNICEF Danmark,UNICEF Danmark,586,2
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,580,1
183887801641951,Verdens Skove,Verdens Skove,538,1
108041771950114,Danmarksdemokraterne,Danmarksdemokraterne,537,3
748887235210811,Obton Forvaltning A/S,Obton A/S,529,7
287306323369,Børnecancerfonden,Børnecancerfonden,482,2
529124290474705,Nikolaj Villumsen,Enhedslisten,429,1
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,388,13
