Location name,Amount spent (THB)
Amnat Charoen,139
Ang Thong,≤100
Ayutthaya,590
Bangkok,15488
Bueng Kan,104
Buriram,505
Chachoengsao,319
Chai Nat,146
Chaiyaphum,271
Chanthaburi,256
Chiang Mai,790
Chiang Rai,508
Chon Buri,1097
Chumphon,485
Kalasin,585
Kamphaeng Phet,236
Kanchanaburi,522
Khon Kaen,560
Krabi,476
Lampang,289
Lamphun,159
Loei,194
Lop Buri,267
Mae Hong Son,207
Maha Sarakham,366
Mukdahan,147
Nakhon Nayok,≤100
Nakhon Pathom,661
Nakhon Phanom,194
Nakhon Ratchasima,11820
Nakhon Sawan,1531
Nakhon Si Thammarat,2304
Nan,261
Narathiwat,255
Nong Bua Lam Phu,135
Nong Khai,159
Nonthaburi,1610
Pathum Thani,727
Pattani,271
Phangnga,256
Phatthalung,351
Phayao,301
Phetchabun,257
Phetchaburi,432
Phichit,350
Phitsanulok,4088
Phrae,154
Phuket,1242
Prachin Buri,223
Prachuap Khiri Khan,467
Ranong,136
Ratchaburi,414
Rayong,425
Roi Et,449
Sa Kaeo,179
Sakon Nakhon,341
Samut Prakan,495
Samut Sakhon,360
Samut Songkhram,211
Saraburi,292
Satun,163
Sing Buri,≤100
Sisaket,420
Songkhla,1856
Sukhothai,234
Suphan Buri,570
Surat Thani,7191
Surin,446
Tak,432
Trang,505
Trat,102
Ubon Ratchathani,716
Udon Thani,483
Unknown,≤100
Uthai Thani,120
Uttaradit,157
Yala Province,243
Yasothon,289
