Location name,Amount spent (RON)
Alba County,787
Arad County,968
Argeș County,1047
Bacău County,1073
Bihor County,1160
Bistrița-Năsăud County,579
Botoșani County,856
Brașov County,1575
Brăila County,585
Bucharest,5777
Buzău County,831
Caraș-Severin County,525
Cluj County,2087
Constanța County,2274
Covasna County,523
Călărași County,557
Dolj County,1091
Dâmbovița County,935
Galați County,957
Giurgiu County,549
Gorj County,689
Harghita County,1175
Hunedoara County,891
Ialomița County,345
Iași County,2075
Ilfov County,740
Maramureș County,897
Mehedinți County,452
Mureș County,1290
Neamț County,996
Olt County,497
Prahova County,1272
Satu Mare County,714
Sibiu County,788
Suceava County,1645
Sălaj County,479
Teleorman County,404
Timiș County,1901
Tulcea County,342
Unknown,≤100
Vaslui County,555
Vrancea County,678
Vâlcea County,571
