Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,2985,147
101589645013040,Thrive by Five,Thrive By Five,2590,63
177072498997234,NSW Electoral Commission,NSW Electoral Commission,2090,30
447447719391089,Health Care Providers Association,Health Care Providers Association,1724,18
213476079972,Essential Workers Deserve Better,Mark Morey,1635,58
107113675572590,Dirty Dozen,Solutions for Australia,1407,72
10113538711,WWF-Australia,WWF-Australia,1369,6
682268945137255,Chris Minns,Chris Minns MP,1254,9
1776727752614025,Glencore,Glencore Australia,1029,8
308746806571901,Advance Australia,Advance Australia,970,92
92824008332,Plan International Australia,Plan International Australia,966,16
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,802,11
101791315693,Destiny Rescue,Destiny Rescue,753,4
182564410468,Australia for UNHCR,Australia for UNHCR,668,113
575557119153505,Department of Planning and Environment,"NSW Department of Planning, Industry and Environment",555,13
494820897261439,Bank Australia,Bank Australia,548,38
146307378744087,The Victorian Electoral Commission,Victorian Electoral Commission,531,1
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,511,12
345960425540557,The Climate Council,The Climate Council,451,48
8422338499,The Wilderness Society,The Wilderness Society,437,140
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,415,25
149648047339,Save the Children Australia,Save the Children Australia,396,19
102329728050606,From the Heart,Cape York Institute,390,5
952274664938382,Phillip Thompson OAM MP - Serving Our Community,Philip Bruce Thompson,342,2
24495551981,The Greens NSW,The Greens NSW,325,3
105931422364976,Jacqui Scruby,Jacqui Scruby,290,9
101013236196328,Victoria Davidson for Lane Cove,Victoria Davidson,283,8
329777267205680,ACT Government,ACT Government,282,7
316480331783930,Australian Unions,Australian Unions,274,41
105193414903922,Australian Values,Department of Home Affairs,272,10
101934832754638,Joeline Hackman,Joeline Pty Ltd,267,8
496680983729627,Chifley Research Centre,Chifley Research Centre,264,2
106791108597531,Future of Local Government Review - Tasmanian Government,Department of Premier and Cabinet,263,3
352953834815624,Jason Wood MP,Jason Wood MP,256,5
106572145637277,Helen Conway for North Shore,Helen Conway,246,7
694832627392516,Prime Super,Prime Super,240,155
504855933190931,Time for Change - Change Aged Care,United Workers Union,237,63
159487260807787,Tindo Solar,Tindo Solar,237,2
10852627380,World Animal Protection Australia,World Animal Protection Australia,228,10
479405598755720,Women NSW,Women NSW,220,12
135933556447881,Australian Republic Movement,Australian Republic Movement,215,14
328245481103110,Senator Alex Antic,Alex Antic,208,7
36002998891,City of Sydney,City of Sydney,201,6
105140971475089,Chuffed.org - Australia,Chuffed.org,200,3
101538949474975,Nifait Randria,These ads ran without a disclaimer,195,4
710266392358023,Future Super,Future Super,190,6
166663303514630,Musicians Australia,Musicians Australia,182,5
231341250224498,Australian Ethical Investment,Australian Ethical Investment,181,56
105084998845350,BPH Energy,BPH ENERGY LTD,181,60
495942030479550,Electoral Commission of South Australia,ECSA,179,1
879712192044319,Animal Justice Party NSW,Animal Justice Party NSW,172,22
100157751855023,Wayne Farnham,Wayne R Farnham,171,4
2383045228374491,CPAC Australia,Conservative Political Action Network Ltd,167,16
1943258269309425,Equality Australia,Equality Australia,160,20
147373667055,Senator Nick McKim,Senator Nick McKim,157,2
281530749293959,Rainforest 4,Rainforest 4 Foundation Ltd,155,4
280996218747910,Tim Richardson,Tim Richardson,155,8
537762462924537,Anthony Albanese,Anthony Albanese,148,4
21145917717,Powerhouse Museum,Powerhouse Museum,132,4
403322097148287,Dr. Felipe Afonso - Cirurgia Oral e Maxilofacial,These ads ran without a disclaimer,130,12
1483396328456198,Acciona.Australia,ACCIONA Australia,121,4
1414406035466037,Jeremy Rockliff,Jeremy Rockliff,121,1
100356216050100,Family First Party Australia,Family First Party Australia Ltd,115,6
1670517743250253,Save the Daintree Rainforest,Rainforest 4 Foundation Ltd,102,20
655944151127130,SBS Cantonese 廣東話節目,Special Broadcasting Service,101,21
157481181070130,Indigenous Employment Australia,Access,≤100,61
272757739102,Engineers Australia,Engineers Australia,≤100,6
115906901777839,Stuart Ayres,Stuart Ayres,≤100,1
801533023293160,Binary,Gender Awareness Australia,≤100,30
111577958275695,Better BeCause,Better BeCause,≤100,12
161854162881,Greenfleet,Greenfleet,≤100,9
191570179167,Catherine Hamlin Fistula Foundation,Catherine Hamlin Fistula Foundation,≤100,6
119246428679,NSW Labor,NSW Labor,≤100,1
21591025194,The University of Melbourne,The University of Melbourne,≤100,2
105348385388237,Senator Babet,Ralph E D Babet,≤100,7
523586527672529,Annastacia Palaszczuk MP,Annastacia Palaszczuk MP,≤100,1
68225180411,Tasmanian Liberals,Tasmanian Liberals,≤100,2
258785314219353,Newcastle Greens,Greens NSW,≤100,2
89794331215,Oxfam,Oxfam Australia,≤100,15
1415055752091843,The Mandarin,Private Media,≤100,6
360001881007767,Vicki Howard,Vicki Howard,≤100,5
1717658871783507,Queensland Youth,Department of Environment and Science,≤100,1
165242077409311,Australian Automobile Association,Australian Automobile Association,≤100,4
108381455902627,Australian Christian Lobby,Australian Christian Lobby,≤100,5
110078315248369,Tony Wolfe,Tony Wolfe,≤100,4
367759967036315,Dr David Honey MLA,Dr David Honey MLA,≤100,1
8013404017,Crikey,Private Media,≤100,11
100314522404427,Andrew Willcox MP,Liberal National Party of Queensland,≤100,1
802981656440514,CCHR Australia,CCHR Australia,≤100,1
6598599526,Australian Museum,Australian Museum,≤100,14
419632568108398,Australian Citizens Party,Australian Citizens Party,≤100,3
1391345791086871,Jason Yat-sen Li MP,JASON YAT-SEN LI,≤100,5
161107919341,Save Our Marine Life (Australia),Save Our Marine Life (Australia),≤100,10
172879872805731,Victorian Department of Health,These ads ran without a disclaimer,≤100,1
409073242479531,Mornington Peninsula Shire,Mornington Peninsula Shire,≤100,3
244639282927426,Senator Gerard Rennick,Senator Gerard Rennick,≤100,1
139174417547253,The Week on Wednesday,Benjamin John Davison,≤100,10
