Location name,Amount spent (UYU)
Artigas Department,132
Canelones Department,590
Cerro Largo Department,149
Colonia Department,247
Durazno Department,≤100
Flores Department,≤100
Florida Department,115
Lavalleja Department,286
Maldonado Department,315
Montevideo Department,2662
Paysandú Department,1127
Rivera Department,483
Rocha Department,106
Río Negro Department,106
Salto Department,316
San José Department,108
Soriano Department,129
Tacuarembó Department,142
Treinta y Tres Department,≤100
Unknown,≤100
