Location name,Amount spent (ZAR)
Eastern Cape,1608
Free State,764
Gauteng,4601
KwaZulu-Natal,1293
Limpopo,482
Mpumalanga,613
North West,574
Northern Cape,307
Unknown,≤100
Western Cape,5552
