Location name,Amount spent (PYG)
Alto Paraguay Department,110493
Alto Paraná Department,19150656
Amambay Department,1443796
Asunción,11446228
Boquerón department,481459
Caaguazú Department,6655048
Caazapá Department,1147729
Canindeyú Department,1491304
Central Department,29453297
Concepción Department (Paraguay),1760030
Cordillera Department,2812771
Guairá Department,1732213
Itapúa Department,7703747
Misiones Department,1528350
Paraguarí Department,1660111
Presidente Hayes Department,1090755
San Pedro Department,2408751
Unknown,808
Ñeembucú Department,2036479
