Location name,Amount spent (PYG)
Alto Paraguay Department,62171
Alto Paraná Department,5043600
Amambay Department,552454
Asunción,3237720
Boquerón department,214371
Caaguazú Department,2148841
Caazapá Department,423414
Canindeyú Department,529076
Central Department,10374151
Concepción Department (Paraguay),591793
Cordillera Department,909727
Guairá Department,678081
Itapúa Department,1830475
Misiones Department,495203
Paraguarí Department,546094
Presidente Hayes Department,338767
San Pedro Department,1056168
Unknown,242
Ñeembucú Department,463033
