Location name,Amount spent (EUR)
Alsace,532
Aquitaine,1103
Auvergne,328
Basse-Normandie,369
Bourgogne,386
Bretagne,964
Centre,643
Champagne-Ardenne,356
Corse,130
Franche-Comté,254
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,496
Languedoc-Roussillon,1055
Limousin,188
Lorraine,722
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,833
New Caledonia,≤100
Nord-Pas-de-Calais,1002
Pays de la Loire,922
Picardie,493
Poitou-Charentes,512
Provence-Alpes-Côte d'Azur,2144
Reunion Island,≤100
Rhône-Alpes,1758
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4317
