Location name,Amount spent (TWD)
Changhua,14152
Chiayi,2938
Hsinchu,6575
Hsinchu City,10363
Hualien,5171
Kaohsiung,44015
Keelung City,5878
Kinmen,1023
Lienchiang,≤100
Miaoli,6817
Nantou,17740
New Taipei City,70531
Penghu,1219
Pingtung,9000
Taichung,52941
Tainan,28535
Taipei,50829
Taitung,2981
Taoyuan City,44582
Unknown,5808
Yilan,5623
Yunlin,7678
