Location name,Amount spent (LBP)
Beirut Governorate,2902256
Beqaa Governorate,842106
Mount Lebanon Governorate,1827220
Nabatieh Governorate,381955
North Governorate,1387219
South Governorate,571429
Unknown,≤100
