Location name,Amount spent (GTQ)
Alta Verapaz Department,368
Baja Verapaz Department,129
Chimaltenango Department,260
Chiquimula Department,237
El Progreso Department,132
Escuintla Department,448
Guatemala Department,8849
Huehuetenango Department,502
Izabal Department,362
Jalapa Department,157
Jutiapa Department,287
Petén Department,249
Quetzaltenango Department,533
Quiché Department,311
Retalhuleu Department,165
Sacatepéquez Department,244
San Marcos Department,1023
Santa Rosa Department,184
Sololá Department,199
Suchitepéquez Department,243
Totonicapán Department,153
Unknown,≤100
Zacapa Department,186
