Location name,Amount spent (USD)
Azuay Province,204
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,≤100
Cotopaxi Province,≤100
El Oro Province,245
Esmeraldas Province,122
Galápagos Province,≤100
Guayas Province,1152
Imbabura Province,≤100
Loja Province,107
Los Ríos Province,245
Manabí Province,434
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,688
Santa Elena Province,≤100
Santo Domingo de los Tsáchilas Province,≤100
Sucumbíos Province,≤100
Tungurahua Province,127
Unknown,≤100
Zamora-Chinchipe Province,≤100
