Location name,Amount spent (MXN)
Aguascalientes,5627
Baja California,17753
Baja California Sur,2716
Campeche,12495
Chiapas,6651
Chihuahua,20830
Coahuila de Zaragoza,85588
Colima,6237
Distrito Federal,97516
Durango,8159
Guanajuato,23695
Guerrero,5598
Hidalgo,5896
Jalisco,126439
Michoacán de Ocampo,12461
Morelos,11757
Nayarit,2716
Nuevo León,94694
Oaxaca,6500
Puebla,26300
Querétaro Arteaga,15306
Quintana Roo,22394
San Luis Potosi,9510
Sinaloa,5680
Sonora,8479
State of Mexico,114132
Tabasco,3795
Tamaulipas,11911
Tlaxcala,2443
Unknown,≤100
Veracruz,15112
Yucatán,14767
Zacatecas,3597
