Location name,Amount spent (SEK)
Blekinge County,4414
Dalarna County,8800
Gotland County,2001
Gävleborg County,9338
Halland County,8203
Jämtland County,4336
Jönköping County,10247
Kalmar County,6689
Kronoberg County,5000
Norrbotten County,7825
Skåne County,39342
Stockholm County,68670
Södermanland County,8706
Unknown,≤100
Uppsala County,13202
Värmland County,7905
Västerbotten County,8175
Västernorrland County,7438
Västmanland County,7842
Västra Götaland County,49550
Örebro County,8858
Östergötland County,12677
