Location name,Amount spent (GTQ)
Alta Verapaz Department,760
Baja Verapaz Department,174
Chimaltenango Department,479
Chiquimula Department,296
El Progreso Department,124
Escuintla Department,696
Guatemala Department,11716
Huehuetenango Department,1043
Izabal Department,430
Jalapa Department,215
Jutiapa Department,340
Petén Department,293
Quetzaltenango Department,1404
Quiché Department,554
Retalhuleu Department,270
Sacatepéquez Department,511
San Marcos Department,1677
Santa Rosa Department,208
Sololá Department,254
Suchitepéquez Department,442
Totonicapán Department,285
Unknown,≤100
Zacapa Department,234
