Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
203652059653094,Government of British Columbia,Government of British Columbia,8168,5
1817729271829272,Secrétariat à la condition féminine,Secrétariat à la condition féminine,6422,13
16761458703,University of British Columbia,The University of British Columbia,5778,85
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Dairy Farmers of Canada,4186,44
632493333805962,Environment and Climate Change,Environment and Climate Change Canada,3272,15
113297740077607,Canadian Energy Centre,Canadian Energy Centre,2827,131
109045051805492,Made The Canadian Way,Canadian Energy Centre,2791,20
104811292976689,SOS violence conjugale,SOS violence conjugale,2578,22
544846182381424,United Conservative Caucus,United Conservative Caucus,2553,11
113969008665734,Ministère de la Santé et des Services sociaux (MSSS),Ministère de la Santé et Services sociaux,2120,14
154462904588700,Enbridge Gas,Enbridge Gas,2104,79
108573293861969,Grain Farmers of Ontario,Grain Farmers of Ontario,1702,9
196322807083503,OECTA - Ontario English Catholic Teachers Association,OECTA - Ontario English Catholic Teachers Association,1670,13
104386908631938,Pathways Alliance,Pathways Alliance,1637,7
102828041144081,Here For Students,Ontario Secondary School Teachers' Federation (OSSTF),1549,3
230448456985193,Elections Ontario,Elections Ontario,1510,4
155609655007428,United Conservative Party of Alberta,United Conservative Party of Alberta,1504,16
163336718421,PSAC - AFPC,PSAC - AFPC,1429,42
1422057448099551,Spirits Canada,Spirits Canada,1291,8
115835521825983,UNHCR Canada,UNHCR Canada,1255,45
139019864276,Oxfam Canada,Oxfam Canada,1055,25
447980405253906,Public Service Alliance of Canada - Prairie Region,Public Service Alliance of Canada - Prairie Region,920,15
1097840090260804,National Police Federation,National Police Federation,912,104
370233926766473,Environnement et Changement climatique,Environnement et Changement climatique Canada,873,15
177741812241442,SCFP-Québec,le SCFP,853,22
106231507615280,Delivering Community Power - Vers des collectivités durables,Canadian Union of Postal Workers,824,8
167577709932867,Fédération des professionnelles et  professionnels de l'éducation FPPE,Fédération des professionnelles et  professionnels de l'éducation FPPE,804,10
27321532378,Pierre Poilievre,Conservative Party of Canada - Parti conservateur du Canada,795,2
168617319831578,Nature Canada,Nature Canada,791,7
