Page ID,Page name,Disclaimer,Amount spent (ZAR),Number of ads in Library
144985128871748,City of Cape Town,City of Cape Town,3105,14
109374997915302,Mayor Geordin Hill-Lewis,Mayor Geordin Hill-Lewis,2465,7
336794296437261,DA GPL,DA Gauteng Provincial Legislature,2056,4
740116816003959,Western Cape Government,Western Cape Government,1756,4
136956534616,Times LIVE,TimesLIVE,1078,14
6011868110,Democratic Alliance,Democratic Alliance,856,3
1742410059361710,AwakeMzansi,Awake Mzansi,676,4
584566048684873,Premier Alan Winde,Western Cape Government,526,1
116657351312927,Pledge To Vote SA,Pledge to Vote,420,1
106172744063430,The Daily Friend,The Daily Friend,358,10
177443222917451,Hands Off My Choices,These ads ran without a disclaimer,338,1
1613030308842801,Democratic Alliance Western Cape,Democratic Alliance,308,2
115864538089777,Dear SA - Have Your Say,Dear S Africa,292,3
119736861394881,Financial Mail,BusinessLIVE,280,13
446648162438519,Thisisacumen,Acumen Media Management,276,2
86579745433,South African Institute of Race Relations,South African Institute of Race Relations,237,12
597918073626793,Democratic Alliance Free State,Democratic Alliance Free State,205,3
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,192,2
105398335585126,Western Cape Education Department,Western Cape Education Department,175,1
106247942465530,Ask SA,Freedom Advocacy Network,150,7
144954928909651,FAK,FAK,≤100,2
134187920103120,Dr. J. Reid (Neurologist),Johan Reid,≤100,1
456190681258118,Democratic Alliance Ngwathe Municipality,Democratic Alliance Free State,≤100,1
123971017684407,HeraldLIVE - Nelson Mandela Bay,HeraldLIVE,≤100,4
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,≤100,7
111249027309680,Milk Moon Studio,These ads ran without a disclaimer,≤100,1
530927007388252,Vrye Weekblad,Vrye Weekblad (Nuwe Vrye Weekblad Mediagroep),≤100,1
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100,2
434577883273454,Sihle Zikalala,Sihle Zikalala,≤100,1
246425659800809,Central News,Central News,≤100,3
137412866820,RSL Awards,These ads ran without a disclaimer,≤100,1
1019691118063870,Traverse Le Goff MP,Traverse Le Goff MP,≤100,1
110181261905012,Godfry Lebese,These ads ran without a disclaimer,≤100,1
104169559169925,Caesar Mafuta,These ads ran without a disclaimer,≤100,1
1027626217435226,Richouses,These ads ran without a disclaimer,≤100,1
405199520209766,The Belt and Road News Network,These ads ran without a disclaimer,≤100,1
102873532224080,Jumping Jim,These ads ran without a disclaimer,≤100,1
106403067788374,Buzz World,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,1
104745534866693,macdetailing.mtl,These ads ran without a disclaimer,≤100,1
30911162508,Forbes,These ads ran without a disclaimer,≤100,1
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100,1
103736139244309,Coach Mercedez Lerne,These ads ran without a disclaimer,≤100,1
