Location name,Amount spent (GTQ)
Alta Verapaz Department,102
Baja Verapaz Department,≤100
Chimaltenango Department,107
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,≤100
Guatemala Department,831
Huehuetenango Department,168
Izabal Department,≤100
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,138
Quetzaltenango Department,≤100
Quiché Department,138
Retalhuleu Department,≤100
Sacatepéquez Department,141
San Marcos Department,≤100
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,154
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
