Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
102931488739,Platforma Obywatelska,Platforma Obywatelska,4363,27
342536459089859,Beata Kempa,Grupa EKR - Beata Kempa MEP,1626,4
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,1489,323
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,1475,15
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,1409,23
182038191908977,Ministerstwo Cyfryzacji,Kancelaria Prezesa Rady Ministrów,1389,8
57544755889,Amnesty International Polska,Amnesty International Polska,1280,33
164968446888637,Ministerstwo Sprawiedliwości,Ministerstwo Sprawiedliwości,1272,5
102811109411234,Do:łącz,Dołącz,1103,28
178362315106,European Parliament,European Parliament,1097,4
104442609633150,Lubuskie,Lubuskie,850,4
228168274881,wysokieobcasy,wysokieobcasy,757,7
107099115544539,Zostań Dłużej,Euvic Media,669,13
160978464020426,Sławomir Nitras,Sławomir Nitras,625,6
104581499325617,Wybory bez picu,Obywatelska Kontrola Wyborów,611,12
199401584696,Konfederacja Lewiatan,Konfederacja Lewiatan,602,3
107750507339408,Bart Staszewski,Fundacja Basta,574,6
102400579013256,Action for Democracy,Action for Democracy,557,1
109223993792330,Andrzej Domański,Andrzej Domański,557,5
144808095552639,ING Polska,ING Polska,526,4
339855706171439,Dobra Fabryka,Dobra Fabryka,487,2
653937168081792,PZU,Powszechny Zakład Ubezpieczeń Spółka Akcyjna (PZU SA),466,5
292640324174614,Hellozdrowie.pl,Redakcja Hello Zdrowie,436,8
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,436,1
104313762397672,PolitykaRolna.eu - Nowa Wspólna Polityka Rolna projekt Infocap PL,Plantpress Sp. z o. o.,402,2
110554885250920,Postawmy na młodzież,Stowarzyszenie Projekt Poznań,392,82
312204349288060,Mariusz Gosek,Mariusz Gosek,386,10
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,359,10
335107452998,"InPost - Paczkomat, Kurier","InPost - Paczkomat, Kurier",349,4
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,340,3
371359310400318,Janusz Kowalski,Janusz Kowalski,335,18
123910440019,Renew Europe,Renew Europe Group,323,1
1227194230675141,Pratia,Pratia SA,322,11
1465965073732774,Łukasz Kohut,Łukasz Kohut,302,1
178415208919146,Suwerenna Polska,Solidarna Polska,298,5
1683534065241470,OKO.press,OKO.press,283,10
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,276,17
102759805294356,Dariusz Matecki - Radny Miasta Szczecin,Dariusz Matecki Radny Miasta Szczecin,269,8
1432065937006559,Polski Związek Tenisa Stołowego,Polski Związek Tenisa Stołowego,256,1
108301418501661,Odszkodowania Za Represje 1944-1989,Odszkodowania Za Represje 1944-1989,245,2
323818978380073,Stanisław Derehajło,Stanisław Derehajło,235,6
152299864806918,Bartosz Arłukowicz,Bartosz Arłukowicz,234,4
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,216,11
1468635720112377,Bogusław Wontor,Bogusław Wontor,212,4
50063176484,TVN24,TVN,210,2
100758976350452,LubBezpośrednio.PL - Instytut Demokracji Bezpośredniej,"Fundacja ""Potrafisz Polsko""",207,10
1888407121466741,Dariusz Stefaniuk,Dariusz Stefaniuk,205,24
107010907929210,Praca w Allegro,Allegro,198,1
100392322548102,Lekarze bez Granic,"Fundacja ""Lekarze bez Granic""",194,3
618179678235315,wschód,wschód,190,4
228366267271894,Warsaw Enterprise Institute,Fundacja Warsaw Enterprise Institute,187,1
429506290917644,Toyota - fabryka w Jelczu,Toyota - fabryka w Jelczu,176,4
286672948180163,Tomasz Trela,Poseł Tomasz Trela,176,4
514245432058229,Piotr Kandyba - Radny Sejmiku Województwa Mazowieckiego,Piotr Kandyba - Radny Sejmiku Województwa Mazowieckiego,175,35
110876148028220,Izabela Bodnar,Izabela Bodnar,174,13
160341610647590,Łukasz Gibała,Kraków dla Mieszkańców,173,5
110491392351511,LINK4,LINK4,172,1
105636040979969,Polska 2050,Polska 2050 Szymona Hołowni,167,2
434225653303734,Fundusze Europejskie dla Mazowsza,Agencja Reklamowa DSK Sp z o.o.,162,7
511908632322302,Artur Chojecki - Wojewoda Warmińsko-Mazurski,Artur Chojecki - Wojewoda Warmińsko-Mazurski,161,1
102577288350341,Super Biznes,se.pl,156,7
209963076513421,Niepodległa. Miejsce spotkań,Niepodległa,155,5
312816688890250,Dariusz Matecki,Dariusz Matecki Radny Miasta Szczecin,155,3
202473923251760,Wojewódzki Fundusz Ochrony Środowiska i Gospodarki Wodnej w Gdańsku,Wojewódzki Fundusz Ochrony Środowiska i Gospodarki Wodnej w Gdańsku,151,7
181020632309,Wydawnictwo Znak,Wydawnictwo Znak,148,8
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,137,7
959387840744974,Bezpartyjni Samorządowcy,Bezpartyjni Samorządowcy,135,8
1435687536687711,Bartosz Kownacki,Bartosz Kownacki,125,2
104061062331637,Pałac Saski,Pałac Saski Sp. z o.o.,124,6
1436380093288077,Park Dzieje,Stowarzyszenie Dzieje,122,6
256314858405394,Paweł Olszewski,Paweł Olszewski,122,2
203627442993022,Portal Oświatowy,Wiedza i Praktyka,122,2
108365475589868,Łukasz Horbatowski - Przewodniczący Platformy Obywatelskiej w Głogowie,Łukasz Horbatowski - Przewodniczący Platformy Obywatelskiej w Głogowie,118,6
1582773718618007,Piotr Zduńczyk,Piotr Zduńczyk,115,2
530390823960994,Fundacja Universitatis Varsoviensis,Fundacja Universitatis Varsoviensis,114,2
127619873953536,Stefczyk.info,Stefczyk.info,114,3
1528030200840040,Muzeum Ziemi Wiśnickiej w Nowym Wiśniczu,Muzeum Ziemi Wiśnickiej w Nowym Wiśniczu,111,2
288949918697908,Łódzkie.pl,Województwo Łódzkie,109,2
101675557899435,Wiadomości Szczecin,Gmina Miasto Szczecin,108,3
222141244609992,Poseł Jakub Rutnicki,Poseł Jakub Rutnicki,103,3
851597268265842,Telewizja Kopernik,TELEWIZJA KOPERNIK,≤100,21
105242644355072,Donum Corde,These ads ran without a disclaimer,≤100,1
109218848183780,Marek Woźniak,UMWW,≤100,6
2320275388297228,Marcin Romanowski,Marcin Romanowski,≤100,1
387124011444132,Wojciech Saługa Poseł na Sejm,Wojciech Saługa Poseł na Sejm,≤100,1
662892093824152,Fundacja Małych Stópek,Fundacja Małych Stópek,≤100,1
137877409609952,Lewica,Nowa Lewica,≤100,1
107396187476330,LUX MED Stomatologia,"LUX MED Sp. z o.o.,",≤100,1
330644215221,Bankier.pl,Bankier.pl,≤100,5
1181684038602267,Niepodległa,"BIURO PROGRAMU ""NIEPODLEGŁA""",≤100,6
173086948664,Infor.pl,Infor.pl,≤100,6
587978354657409,Grupa Morska - Cała Naprzód,Grupa Morska - Cała Naprzód,≤100,3
749393698434460,Jarosław Krajewski,Jarosław Krajewski,≤100,3
163064650412661,Teatr Powszechny w Łodzi,Teatr Powszechny w Łodzi,≤100,6
230415296997772,bydgoszcz.pl,bydgoszcz.pl,≤100,2
105039892358886,FURPO - Świadczenie Pielęgnacyjne,FURPO GROUP SP. Z O.O.,≤100,7
391098174296294,Super Express,se.pl,≤100,1
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro – Prawo do życia,≤100,4
432262006919523,Krzysztof Nowak,Krzysztof Nowak,≤100,1
69153026654,Jerzy Buzek,Jerzy Buzek,≤100,1
100302862419697,"Wielkopolska, tej",UMWW,≤100,15
538339702867683,Miejski Ośrodek Kultury w Wojkowicach,Miejski Ośrodek Kultury w Wojkowicach,≤100,1
205945942802470,Polska Agencja Rozwoju Przedsiębiorczości,Polska Agencja Rozwoju Przedsiębiorczości,≤100,1
505864632777215,Tygodnik Lisickiego,Orle Pióro sp. z o.o.,≤100,3
366961460007823,Budimex SA,Budimex SA,≤100,2
163488137165461,E.ON Polska,E.ON Polska,≤100,11
297486841148102,Ius Memoriae - Prawo Pamięci,Ius Memoriae,≤100,20
159546574381832,Paulina Hennig-Kloska,Paulina Hennig-Kloska,≤100,1
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,≤100,10
603295086483883,Łukasz Schreiber - Poseł na Sejm RP,Łukasz Schreiber - Poseł na Sejm RP,≤100,18
107590839282206,BNP Paribas Bank Polska,BNP Paribas Bank Polska S.A.,≤100,1
1495480087399256,Jacek Ozdoba,Jacek Ozdoba,≤100,5
109818732102113,Taka Jak Ja,These ads ran without a disclaimer,≤100,2
113905148397308,Portal Obronny,Se.pl,≤100,6
514735281965536,Demagog,Stowarzyszenie Demagog,≤100,14
207398195946921,Instytut Spraw Obywatelskich,Fundacja Instytut Spraw Obywatelskich,≤100,4
110160667808845,ESKA Wrocław News,ESKA Wrocław News,≤100,2
1454333274894957,Małgorzata Tracz,Biuro Poselskie Posłanki na Sejm RP Małgorzaty Tracz,≤100,2
100270259022054,Niebieskie Trampki - kroki ku życiu,Niebieskie Trampki - kroki ku życiu,≤100,3
1882591205371526,Jan Kanthak,Jan Kanthak,≤100,1
200404253354944,Bartłomiej Wróblewski,Bartłomiej Wróblewski,≤100,4
177473808919,Polskie Stronnictwo Ludowe,Polskie Stronnictwo Ludowe,≤100,2
194585893914848,Fundacja Rozwoju Demokracji Lokalnej,Fundacja Rozwoju Demokracji Lokalnej,≤100,2
316810098501611,Miasto2077 / Green is Good,Miasto2077 / Green is Good,≤100,6
1659680027600979,Bydgoski Budżet Obywatelski,bydgoszcz.pl,≤100,4
171404836251745,Marcin Koza Shogun,Polska Liberalna Strajk Przedsiębiorców,≤100,6
170887773826663,Marcin Warchoł,Marcin Warchoł,≤100,1
102190222345818,Kancelaria ds. Obywatelskich,Kancelaria ds. Obywatelskich,≤100,4
207653439276138,Fundusze Europejskie dla Dolnego Śląska,Fundusze Europejskie dla Dolnego Śląska,≤100,2
110623255132084,Wiceprezydent Wrocławia Jakub Mazur,Wiceprezydent Wrocławia Jakub Mazur,≤100,3
107489448850542,Piotr Kisiel Radny Miasta Kielce,Piotr Kisiel Radny Miasta Kielce,≤100,1
112919645452925,Artur Gierada,Artur Gierada,≤100,1
81885462442,Histmag.org,Histmag.org,≤100,6
737382823002282,Anna Pieczarka,Anna Pieczarka,≤100,2
107280785612581,Krakowskie Centrum Edukacji Klimatycznej,Krakowskie Centrum Edukacji Klimatycznej,≤100,4
110058531445574,Janusz Cieszyński,Janusz Cieszyński,≤100,2
151650414730,Med Polonia,Med Polonia Sp. z o. o.,≤100,27
105224125776444,Karol Szymura - Radny Rybnika,Karol Szymura - Radny Miasta Rybnika,≤100,5
507678159314962,Wrocław Fashion Outlet,Wrocław Fashion Outlet,≤100,5
115651338097958,Krzysztof Dziwisz - Starosta Powiatu Żyrardowskiego,Krzysztof Dziwisz - Starosta Powiatu Żyrardowskiego,≤100,2
893685610645878,Tomasz Olichwer poseł na Sejm RP,Tomasz Olichwer poseł na Sejm RP,≤100,4
429223670772200,Smażymy,These ads ran without a disclaimer,≤100,2
109649700417909,Piotr Sak,Poseł na Sejm RP Piotr Sak,≤100,1
112568627227368,BHP Masters,These ads ran without a disclaimer,≤100,1
1517531151827376,Henryk Dębowski - Radny Miasta Białystok,Henryk Dębowski - Radny Miasta Białystok,≤100,3
458609627490170,Pałac Schoena - Muzeum w Sosnowcu,Pałac Schoena - Muzeum w Sosnowcu,≤100,1
483707668473229,Piotr Uruski,Piotr Uruski,≤100,4
202813996476257,Podlaski.info,Tygodnik Podlaski,≤100,2
521216701360487,MURATOR,MURATOR,≤100,3
416252751891711,Super Express Wrocław,Grupa ZPR Media,≤100,2
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,≤100,1
74863922834,Krytyka Polityczna,Krytyka Polityczna,≤100,4
658695000844495,Adam Andruszkiewicz,Adam Andruszkiewicz,≤100,1
578864425792499,Ośrodek Monitorowania Antypolonizmu,Fundacja Ośrodek Monitorowania Antypolonizmu,≤100,1
