Location name,Amount spent (ARS)
Buenos Aires,1036084
Catamarca,69724
Chaco,94668
Chubut,51334
Ciudad Autónoma de Buenos Aires,209399
Corrientes,20683
Córdoba,1660106
Entre Rios,61247
Formosa,17685
Jujuy,23877
La Pampa,58106
La Rioja,24660
Mendoza,45715
Misiones,23940
Neuquén,142324
Río Negro,26226
Salta,119932
San Juan,86372
San Luis,43951
Santa Cruz,3011
Santa Fe,272632
Santiago del Estero,9386
Tierra del Fuego,34056
Tucuman,101070
Unknown,≤100
