Location name,Amount spent (JPY)
Aichi Prefecture,30698
Akita Prefecture,2028
Aomori Prefecture,3228
Chiba Prefecture,34003
Ehime Prefecture,3798
Fukui Prefecture,2501
Fukuoka Prefecture,48144
Fukushima Prefecture,4362
Gifu Prefecture,6116
Gunma Prefecture,6682
Hiroshima Prefecture,17798
Hokkaido,17444
Hyōgo Prefecture,21014
Ibaraki Prefecture,8601
Ishikawa Prefecture,3743
Iwate Prefecture,2921
Kagawa Prefecture,3623
Kagoshima Prefecture,4516
Kanagawa Prefecture,57457
Kumamoto Prefecture,8130
Kyoto Prefecture,15380
Kōchi Prefecture,1614
Mie Prefecture,6568
Miyagi Prefecture,13789
Miyazaki Prefecture,3300
Nagano Prefecture,5651
Nagasaki Prefecture,5947
Nara Prefecture,4665
Niigata Prefecture,5658
Okayama Prefecture,5918
Okinawa Prefecture,9463
Osaka Prefecture,44654
Saga Prefecture,4157
Saitama Prefecture,34542
Shiga Prefecture,5065
Shimane Prefecture,1701
Shizuoka Prefecture,11429
Tochigi Prefecture,6401
Tokushima Prefecture,2015
Tokyo,77733
Tottori Prefecture,1162
Toyama Prefecture,2688
Unknown,160
Wakayama Prefecture,2669
Yamagata Prefecture,2906
Yamaguchi Prefecture,4173
Yamanashi Prefecture,2649
Ōita Prefecture,5398
