Location name,Amount spent (CZK)
Central Bohemian Region,12835
Hradec Králové Region,6079
Karlovy Vary Region,3478
Liberec Region,4818
Moravian-Silesian Region,11418
Olomouc Region,6013
Pardubice Region,5124
Plzeň Region,6864
Prague,26031
South Bohemian Region,7907
South Moravian Region,14572
Unknown,≤100
Vysočina Region,4905
Zlín Region,8189
Ústí nad Labem Region,8481
