Location name,Amount spent (VEF)
Amazonas,112565
Anzoátegui,5052415
Apure,763129
Aragua,2611852
Barinas,4368470
Bolívar (state),2336700
Capital District,20878829
Carabobo,8778871
Cojedes,476046
Delta Amacuro,100066
Falcón,1379046
Guárico,910545
Lara,6391899
Miranda (state),6258252
Monagas,3858345
Mérida,4581158
Nueva Esparta,645365
Portuguesa,1195465
Sucre,910882
Trujillo,955561
Táchira,5894491
Unknown,≤100
Vargas,1744251
Yaracuy,912983
Zulia,9105534
