Location name,Amount spent (AUD)
Australian Capital Territory,1246
Jervis Bay Territory,≤100
New South Wales,15484
Northern Territory,536
Queensland,13573
South Australia,4839
Tasmania,2835
Unknown,≤100
Victoria,14006
Western Australia,9000
