Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
208661552479830,日本財団,Shigeru Fujita,396895,12
1904070096535109,スマート選挙,株式会社センキョ,123402,41
112523977041775,参政党,参政党,105521,71
475681929154100,国連UNHCR協会,国連UNHCR協会,50334,13
684161888345926,西日本新聞me,西日本新聞me,22464,22
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,19874,14
105008882249998,GHQ 焚書アーカイブス,These ads ran without a disclaimer,18043,5
651801698258818,NewsTV,NewsTV,14154,6
543662599325014,地方移住・関係人口創出のプラットフォーム【ネイティブ. メディア】,ネイティブ株式会社,12942,6
107313352292674,栄ひろみ,栄ひろみ事務所,10475,7
103914976352692,選挙ドットコム,イチニ株式会社,10267,1
105675478186991,金井たかし　江戸川区の政策研究,金井 高志,8147,4
579187028792625,社長と会社の手元現金を増やす仕組みづくりの専門家,社長と会社の手元現金を増やす仕組みづくりの専門家,8083,1
108376722204259,吉川さとし,藤川 忠彦,7825,17
118177257866209,竹内つねお後援会「持続可能な美浜町を構想する会」,竹内つねお後援会,7580,1
101946646061849,アップデートおおさか,アップデートおおさか,6672,1
102468941548369,宮城県民共済,宮城県民共済,6601,2
103817759311985,小林たけし（自民党）川崎市麻生区で政治活動中！,小林たけし,5297,1
110293788602871,天野英雄（岡山県笠岡市･自民党）,天野英雄（岡山県笠岡市･自民党）,4290,3
109760801771369,橋本 みきひこ,橋本 みきひこ,4127,7
100251962938282,スピリチュアル心理,These ads ran without a disclaimer,4107,1
2317579431859030,岐阜県議会議員 さとう武彦,岐阜県議会議員 さとう武彦,4056,1
102057562724312,自治体実務Webセミナー,自治体実務Webセミナー,3614,2
346736506518940,政治家　沼谷純,寺内 崇浩,3063,1
823788047675556,Call of War,These ads ran without a disclaimer,2741,2
102301588877519,Mens_Beauty,These ads ran without a disclaimer,2334,2
635403336589582,エビちゃん応援隊（えびさわけいこ応援隊）,エビちゃん応援隊,2260,1
107367904080878,VIVA-たいけん美じゅつ場-,NPO法人取手アートプロジェクトオフィス,2237,2
428707860616752,文京区議会議員えびさわけいこ,えびさわけいこ事務所,2136,1
1574213032824051,交通事故を検証する。,鶴田 敬治,1945,7
105458429152816,清水直幸後援会｜清水直幸とよいまちを子どもにわたす会,Ryo Shimizu,1808,2
104525832559827,ごとう慎太郎,後藤　慎太郎,1743,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1731,1
104837455833648,Issues_ad,株式会社issues,1558,9
108491485442354,下川たかひこ後援会,下川たかひこ後援会,1554,5
464822496891330,いい投票／e投票,株式会社グラント,1525,3
151214938794853,ミエセン,ジャッグジャパン株式会社,1505,9
256504371891671,the-issues.jp,株式会社issues,1407,6
123217824515511,牛見 航  /  山口県防府市議会議員,Wataru Ushimi,1402,3
1671853216366712,東こう史ひろ,東猴史紘,1372,1
100370856335326,日本維新の会　原ひでと,原ひでとオフィシャルサイト,1335,2
1368986999877458,寺田ひろひで,博英 寺田,1326,2
547986165247623,NPO法人 多民族共生人権教育センター,NPO法人 多民族共生人権教育センター,1313,1
1931657160431977,税理士法人ネイチャー,These ads ran without a disclaimer,1077,7
396519593806561,YOKOHAMAデモクラシー道場,Fumiki Yanagisawa,1028,1
106343274834613,群馬県議会議員　小川あきら,群馬県議会議員　小川あきら,962,1
113714531652580,中村裕一のページ,中村 裕一,848,3
