Location name,Amount spent (PYG)
Alto Paraguay Department,10169
Alto Paraná Department,666874
Amambay Department,90863
Asunción,451318
Boquerón department,100004
Caaguazú Department,271541
Caazapá Department,165676
Canindeyú Department,99890
Central Department,1385474
Concepción Department (Paraguay),121105
Cordillera Department,171164
Guairá Department,109410
Itapúa Department,322672
Misiones Department,140354
Paraguarí Department,127509
Presidente Hayes Department,46114
San Pedro Department,202759
Unknown,761
Ñeembucú Department,45745
