Location name,Amount spent (IDR)
Aceh,779462
Bali,8435181
Bangka–Belitung Islands,323479
Banten,5129020
Bengkulu,540947
Central Java,9125892
Central Kalimantan,634612
Central Sulawesi,1063296
East Java,12006602
East Kalimantan,1356550
East Nusa Tenggara,1714946
Gorontalo,600965
Jakarta,11878761
Jambi,933912
Lampung,2254465
Maluku,537758
North Kalimantan,194019
North Maluku,414154
North Sulawesi,3615059
North Sumatra,3751345
Papua (province),510313
Riau,1910534
Riau Islands Province,718517
South Kalimantan,715258
South Sulawesi,2675731
South Sumatra,2150309
Southeast Sulawesi,876484
Special Region of Yogyakarta,1272197
Unknown,12787
West Java,12669395
West Kalimantan,1310072
West Nusa Tenggara,1457606
West Papua,287578
West Sulawesi,338389
West Sumatra,1265865
