Location name,Amount spent (CZK)
Central Bohemian Region,40430
Hradec Králové Region,16177
Karlovy Vary Region,6943
Liberec Region,13115
Moravian-Silesian Region,31459
Olomouc Region,17950
Pardubice Region,14991
Plzeň Region,17213
Prague,84976
South Bohemian Region,18992
South Moravian Region,46455
Unknown,≤100
Vysočina Region,13802
Zlín Region,15652
Ústí nad Labem Region,22131
