Location name,Amount spent (PLN)
Greater Poland Voivodeship,3515
Kuyavian-Pomeranian Voivodeship,1902
Lesser Poland Voivodeship,3343
Lower Silesian Voivodeship,2831
Lublin Voivodeship,1678
Lubusz Voivodeship,871
Masovian Voivodeship,7918
Opole Voivodeship,695
Podkarpackie Voivodeship,1387
Podlaskie Voivodeship,827
Pomeranian Voivodeship,2359
Silesian Voivodeship,4211
Unknown,≤100
Warmian-Masurian Voivodeship,1221
West Pomeranian Voivodeship,1784
Łódź Voivodeship,2358
Świętokrzyskie Voivodeship,890
