Location name,Amount spent (IDR)
Aceh,3564624
Bali,2567536
Bangka–Belitung Islands,806359
Banten,4610198
Bengkulu,1259853
Central Java,14161279
Central Kalimantan,1227727
Central Sulawesi,1442392
East Java,10851471
East Kalimantan,3247166
East Nusa Tenggara,2676002
Gorontalo,986683
Jakarta,18037055
Jambi,1416897
Lampung,6088265
Maluku,1941256
North Kalimantan,652774
North Maluku,776179
North Sulawesi,4041696
North Sumatra,5841050
Papua (province),1093279
Riau,2865426
Riau Islands Province,1453038
South Kalimantan,1801601
South Sulawesi,7156687
South Sumatra,6374113
Southeast Sulawesi,1194786
Special Region of Yogyakarta,1664511
Unknown,25028
West Java,16585367
West Kalimantan,2666456
West Nusa Tenggara,1839178
West Papua,703896
West Sulawesi,823922
West Sumatra,3511305
