Location name,Amount spent (BRL)
Acre (state),1163
Alagoas,2851
Amapá,1153
Amazonas,5366
Bahia,14447
Ceará,11649
Espírito Santo,4500
Federal District,6722
Goiás,8087
Maranhão,5329
Mato Grosso,5021
Mato Grosso do Sul,4195
Minas Gerais,37010
Paraná,17191
Paraíba,4073
Pará,7218
Pernambuco,9831
Piauí,2581
Rio Grande do Norte,3848
Rio Grande do Sul,22608
Rio de Janeiro (state),27636
Rondônia,2065
Roraima,620
Santa Catarina,10864
Sergipe,3068
São Paulo (state),87884
Tocantins,1397
Unknown,≤100
