Location name,Amount spent (JPY)
Aichi Prefecture,41499
Akita Prefecture,1882
Aomori Prefecture,3031
Chiba Prefecture,18550
Ehime Prefecture,3337
Fukui Prefecture,1906
Fukuoka Prefecture,41547
Fukushima Prefecture,3445
Gifu Prefecture,3732
Gunma Prefecture,3559
Hiroshima Prefecture,6959
Hokkaido,12149
Hyōgo Prefecture,40439
Ibaraki Prefecture,6760
Ishikawa Prefecture,3127
Iwate Prefecture,2112
Kagawa Prefecture,2900
Kagoshima Prefecture,3142
Kanagawa Prefecture,52810
Kumamoto Prefecture,5628
Kyoto Prefecture,27847
Kōchi Prefecture,1390
Mie Prefecture,4701
Miyagi Prefecture,12598
Miyazaki Prefecture,29539
Nagano Prefecture,5594
Nagasaki Prefecture,5094
Nara Prefecture,8857
Niigata Prefecture,4540
Okayama Prefecture,4702
Okinawa Prefecture,7189
Osaka Prefecture,87488
Saga Prefecture,3638
Saitama Prefecture,18394
Shiga Prefecture,7994
Shimane Prefecture,1375
Shizuoka Prefecture,11141
Tochigi Prefecture,3854
Tokushima Prefecture,1276
Tokyo,121482
Tottori Prefecture,1058
Toyama Prefecture,2154
Unknown,≤100
Wakayama Prefecture,5746
Yamagata Prefecture,2126
Yamaguchi Prefecture,3255
Yamanashi Prefecture,1865
Ōita Prefecture,5046
