Location name,Amount spent (DKK)
Capital Region of Denmark,52996
Central Denmark Region,25482
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,11016
Region of Southern Denmark,22603
Unknown,≤100
Zealand Region,16425
