Location name,Amount spent (HUF)
Baranya County,101133
Borsod-Abaúj-Zemplén County,163461
Budapest,674701
Bács-Kiskun County,131830
Békés County,89479
Csongrád County,123763
Fejér County,128550
Győr-Moson-Sopron County,123354
Hajdú-Bihar County,492528
Heves County,79561
Jász-Nagykun-Szolnok County,94134
Komárom-Esztergom County,82211
Nógrád County,44965
Pest County,289344
Somogy County,73540
Szabolcs-Szatmár-Bereg County,139581
Tolna County,59208
Unknown,≤100
Vas County,71074
Veszprém County,85944
Zala County,70607
