Location name,Amount spent (VEF)
Amazonas,506300
Anzoátegui,10030282
Apure,2252990
Aragua,13280677
Barinas,5390226
Bolívar (state),8273100
Capital District,29204501
Carabobo,19339961
Cojedes,1538793
Delta Amacuro,502100
Falcón,6018774
Guárico,3510500
Lara,12804872
Miranda (state),9777049
Monagas,4489680
Mérida,7015750
Nueva Esparta,4756300
Portuguesa,6011247
Sucre,3130486
Trujillo,3259450
Táchira,9261550
Vargas,4897771
Yaracuy,5264616
Zulia,26107514
