Location name,Amount spent (HUF)
Baranya County,44382
Borsod-Abaúj-Zemplén County,61522
Budapest,372116
Bács-Kiskun County,65599
Békés County,42972
Csongrád County,100359
Fejér County,54791
Győr-Moson-Sopron County,54216
Hajdú-Bihar County,87504
Heves County,48847
Jász-Nagykun-Szolnok County,45314
Komárom-Esztergom County,38068
Nógrád County,24239
Pest County,120853
Somogy County,33811
Szabolcs-Szatmár-Bereg County,47196
Tolna County,25008
Unknown,≤100
Vas County,32685
Veszprém County,42721
Zala County,46821
