Location name,Amount spent (USD)
Alabama,11241
Alaska,2928
American Samoa,≤100
Arizona,28820
Arkansas,7142
California,119785
Colorado,21697
Connecticut,12683
Delaware,3862
Florida,65948
Georgia,33429
Guam,≤100
Hawaii,3224
Idaho,4811
Illinois,31797
Indiana,16499
Iowa,10084
Kansas,8187
Kentucky,10798
Louisiana,16528
Maine,8635
Maryland,25942
Massachusetts,17440
Michigan,33341
Minnesota,17528
Mississippi,8306
Missouri,13848
Montana,10573
Nebraska,4520
Nevada,15910
New Hampshire,6076
New Jersey,33945
New Mexico,5989
New York,67733
North Carolina,34399
North Dakota,2084
Northern Mariana Islands,≤100
Ohio,36744
Oklahoma,11015
Oregon,12887
Pennsylvania,51796
Puerto Rico,≤100
Rhode Island,3898
South Carolina,15512
South Dakota,2132
Tennessee,19792
Texas,102071
Unknown,139
Utah,8453
Vermont,1517
Virginia,38206
Washington,20495
"Washington, District of Columbia",10071
West Virginia,9745
Wisconsin,24824
Wyoming,1558
