Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,652
Bangkok,20607
Bueng Kan,≤100
Buriram,350
Chachoengsao,523
Chai Nat,≤100
Chaiyaphum,229
Chanthaburi,229
Chiang Mai,3510
Chiang Rai,528
Chon Buri,2420
Chumphon,470
Kalasin,219
Kamphaeng Phet,167
Kanchanaburi,447
Khon Kaen,614
Krabi,333
Lampang,286
Lamphun,166
Loei,176
Lop Buri,224
Mae Hong Son,316
Maha Sarakham,270
Mukdahan,115
Nakhon Nayok,≤100
Nakhon Pathom,744
Nakhon Phanom,421
Nakhon Ratchasima,865
Nakhon Sawan,585
Nakhon Si Thammarat,1559
Nan,122
Narathiwat,210
Nong Bua Lam Phu,121
Nong Khai,156
Nonthaburi,945
Pathum Thani,922
Pattani,363
Phangnga,372
Phatthalung,491
Phayao,365
Phetchabun,211
Phetchaburi,174
Phichit,301
Phitsanulok,3837
Phrae,140
Phuket,7726
Prachin Buri,245
Prachuap Khiri Khan,264
Ranong,131
Ratchaburi,455
Rayong,1326
Roi Et,324
Sa Kaeo,138
Sakon Nakhon,273
Samut Prakan,885
Samut Sakhon,961
Samut Songkhram,407
Saraburi,282
Satun,271
Sing Buri,≤100
Sisaket,376
Songkhla,2651
Sukhothai,276
Suphan Buri,306
Surat Thani,5095
Surin,317
Tak,263
Trang,366
Trat,≤100
Ubon Ratchathani,591
Udon Thani,429
Unknown,≤100
Uthai Thani,≤100
Uttaradit,137
Yala Province,245
Yasothon,243
