Page ID,Page name,Disclaimer,Amount spent (BAM),Number of ads in Library
102802955817933,Centralna izborna komisija Bosne i Hercegovine,Centralna izborna komisija Bosne i Hercegovine,207,4
163322863710900,Evropska unija u Bosni i Hercegovini,Ured spec. predstavnika,133,1
1676047195961611,Impuls,"Udruženje građana ""Impuls""",≤100,2
1454304308161318,"Koalicija ""Pod lupom""","Koalicija ""Pod lupom""",≤100,1
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100,8
147315858633088,Istinomjer,Istinomjer,≤100,5
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100,9
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100,5
111544041335161,Antikorupcija info,Antikorupcija.info,≤100,8
109652028193268,Revizije info,Revizije info,≤100,7
1494057107558990,Javna rasprava,Javna rasprava,≤100,10
111544041335161,Antikorupcija info,Antikorupcija info,≤100,7
263396107142816,Transparency International Bosna i Hercegovina,Transparency International in BiH,≤100,3
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Filip Lučić,≤100,1
110367919014958,ERGO,These ads ran without a disclaimer,≤100,1
2401351939921390,Raport.ba,Raport Media Group,≤100,1
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100,4
9659541299,Radio Sarajevo,These ads ran without a disclaimer,≤100,1
1473390132922451,СДС Угљевик / SDS Ugljevik,Dragan Vasilić,≤100,1
306474736844372,Narod i Pravda Novi Grad Sarajevo,Narod i Pravda Novi Grad Sarajevo,≤100,1
197596636939679,tacno.net,Tacno.net,≤100,2
1607622842896752,interview.ba,Fondacija Infohuse,≤100,2
506759763041477,Čapljina u srcu,Pero Previšić,≤100,1
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100,1
105220269037193,sasvimsvoja,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,2
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,2
103668535960306,ProMotion,These ads ran without a disclaimer,≤100,1
110148715263206,Jay Jovian,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
100187109256916,Ustajte Diskriminisani,Ustajte Diskriminisani,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,1
107277205593583,stop_vrsnjackomnasilju,These ads ran without a disclaimer,≤100,1
1381160952118444,Foundation for Access to Rights FAR  Фондация за достъп до права ФАР,These ads ran without a disclaimer,≤100,1
222968021092962,RTV Slon - Tuzla,RTV SLON,≤100,1
124275457632741,ElectronicSpecifier,These ads ran without a disclaimer,≤100,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,1
