Location name,Amount spent (EGP)
Al Sharqia Governorate,1625
Alexandria Governorate,1110
Aswan Governorate,183
Asyut Governorate,439
Beheira Governorate,668
Beni Suef Governorate,491
Cairo Governorate,3880
Dakahlia Governorate,1912
Damietta Governorate,353
Faiyum Governorate,410
Gharbia Governorate,1137
Giza Governorate,1386
Ismailia Governorate,485
Kafr el-Sheikh Governorate,615
Luxor Governorate,150
Matrouh Governorate,≤100
Minya Governorate,677
Monufia Governorate,1231
New Valley Governorate,≤100
North Sinai Governorate,102
Port Said Governorate,289
Qalyubia Governorate,1127
Qena Governorate,318
Red Sea Governorate,110
Sohag Governorate,567
South Sinai Governorate,≤100
Suez Governorate,122
Unknown,≤100
