Location name,Amount spent (EGP)
Al Sharqia Governorate,2371
Alexandria Governorate,2059
Aswan Governorate,416
Asyut Governorate,874
Beheira Governorate,1339
Beni Suef Governorate,528
Cairo Governorate,4879
Dakahlia Governorate,2621
Damietta Governorate,776
Faiyum Governorate,576
Gharbia Governorate,1816
Giza Governorate,1421
Ismailia Governorate,433
Kafr el-Sheikh Governorate,1405
Luxor Governorate,299
Matrouh Governorate,112
Minya Governorate,1045
Monufia Governorate,1505
New Valley Governorate,133
North Sinai Governorate,210
Port Said Governorate,411
Qalyubia Governorate,1406
Qena Governorate,657
Red Sea Governorate,200
Sohag Governorate,1121
South Sinai Governorate,≤100
Suez Governorate,276
Unknown,≤100
