Location name,Amount spent (PEN)
Amazonas Region,102
Ancash Region,520
Apurímac Region,141
Arequipa Region,530
Ayacucho Region,247
Cajamarca Region,390
Callao,197
Cusco Region,438
Huancavelica Region,≤100
Huánuco Region,234
Ica Region,452
Junín Region,415
La Libertad Region,685
Lambayeque Region,489
Lima Region,4043
Loreto Region,237
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,609
Puno Region,478
San Martín Region,270
Tacna Region,172
Tumbes Region,103
Ucayali Region,189
Unknown,≤100
