Location name,Amount spent (NZD)
Auckland Region,5817
Bay of Plenty Region,1100
Canterbury,2065
Cook Islands,≤100
Gisborne District,145
Hawke's Bay,659
Manawatu-Wanganui,813
Marlborough Region,143
Nelson Province,219
Niue,≤100
Northland Region,590
Otago,763
Southland,327
Taranaki,374
Tasman District,135
Unknown,≤100
Waikato,1417
Wellington Region,1606
West Coast,102
