Location name,Amount spent (IDR)
Aceh,509165
Bali,1488330
Bangka–Belitung Islands,273340
Banten,1557134
Bengkulu,389852
Central Java,5681326
Central Kalimantan,499772
Central Sulawesi,449856
East Java,5795434
East Kalimantan,866125
East Nusa Tenggara,1221868
Gorontalo,202864
Jakarta,4294587
Jambi,503819
Lampung,1046325
Maluku,249625
North Kalimantan,144733
North Maluku,198314
North Sulawesi,1265405
North Sumatra,3692264
Papua (province),481546
Riau,1358259
Riau Islands Province,549992
South Kalimantan,444379
South Sulawesi,1114109
South Sumatra,1169160
Southeast Sulawesi,380625
Special Region of Yogyakarta,741910
Unknown,3712
West Java,5648967
West Kalimantan,901940
West Nusa Tenggara,676894
West Papua,190551
West Sulawesi,190213
West Sumatra,763088
