Location name,Amount spent (PLN)
Greater Poland Voivodeship,4345
Kuyavian-Pomeranian Voivodeship,2492
Lesser Poland Voivodeship,3886
Lower Silesian Voivodeship,3613
Lublin Voivodeship,1945
Lubusz Voivodeship,1189
Masovian Voivodeship,7526
Opole Voivodeship,935
Podkarpackie Voivodeship,1958
Podlaskie Voivodeship,994
Pomeranian Voivodeship,3056
Silesian Voivodeship,4543
Unknown,≤100
Warmian-Masurian Voivodeship,1405
West Pomeranian Voivodeship,1952
Łódź Voivodeship,3179
Świętokrzyskie Voivodeship,1019
