Location name,Amount spent (CZK)
Central Bohemian Region,6059
Hradec Králové Region,2571
Karlovy Vary Region,1203
Liberec Region,1822
Moravian-Silesian Region,5245
Olomouc Region,3237
Pardubice Region,3063
Plzeň Region,3484
Prague,13354
South Bohemian Region,2790
South Moravian Region,6947
Unknown,≤100
Vysočina Region,2514
Zlín Region,3077
Ústí nad Labem Region,4078
