Location name,Amount spent (EGP)
Al Sharqia Governorate,1459
Alexandria Governorate,1417
Aswan Governorate,283
Asyut Governorate,735
Beheira Governorate,873
Beni Suef Governorate,323
Cairo Governorate,3974
Dakahlia Governorate,2709
Damietta Governorate,389
Faiyum Governorate,602
Gharbia Governorate,1166
Giza Governorate,1244
Ismailia Governorate,264
Kafr el-Sheikh Governorate,663
Luxor Governorate,228
Matrouh Governorate,192
Minya Governorate,728
Monufia Governorate,1015
New Valley Governorate,≤100
North Sinai Governorate,126
Port Said Governorate,752
Qalyubia Governorate,928
Qena Governorate,521
Red Sea Governorate,162
Sohag Governorate,849
South Sinai Governorate,≤100
Suez Governorate,151
Unknown,≤100
