Location name,Amount spent (RON)
Alba County,393
Arad County,531
Argeș County,545
Bacău County,654
Bihor County,635
Bistrița-Năsăud County,321
Botoșani County,507
Brașov County,1152
Brăila County,288
Bucharest,2891
Buzău County,433
Caraș-Severin County,308
Cluj County,1222
Constanța County,1032
Covasna County,264
Călărași County,329
Dolj County,675
Dâmbovița County,406
Galați County,507
Giurgiu County,209
Gorj County,353
Harghita County,394
Hunedoara County,622
Ialomița County,318
Iași County,1424
Ilfov County,469
Maramureș County,890
Mehedinți County,262
Mureș County,683
Neamț County,472
Olt County,342
Prahova County,907
Satu Mare County,455
Sibiu County,456
Suceava County,891
Sălaj County,281
Teleorman County,550
Timiș County,1175
Tulcea County,204
Unknown,≤100
Vaslui County,362
Vrancea County,364
Vâlcea County,295
