Location name,Amount spent (PKR)
Azad Kashmir,760
Balochistan,1122
Federally Administered Tribal Areas,232
Gilgit-Baltistan,279
Islamabad Capital Territory,1376
Khyber Pakhtunkhwa,5140
Punjab,31013
Sindh,11220
Unknown,≤100
