Location name,Amount spent (INR)
Andaman and Nicobar Islands,169
Andhra Pradesh,115523
Arunachal Pradesh,1488
Assam,13373
Bihar,27339
Chandigarh,1819
Chhattisgarh,106208
Dadra and Nagar Haveli,1413
Delhi,41387
Goa,2957
Gujarat,43563
Haryana,33239
Himachal Pradesh,9268
Jammu and Kashmir,5477
Jharkhand,12016
Karnataka,38974
Kerala,9637
Lakshadweep,≤100
Madhya Pradesh,132091
Maharashtra,165050
Manipur,165
Meghalaya,1333
Mizoram,3185
Nagaland,573
Odisha,12182
Puducherry,638
Punjab region,32974
Rajasthan,110686
Sikkim,841
Tamil Nadu,26962
Telangana,54118
Tripura,1453
Unknown,≤100
Uttar Pradesh,77980
Uttarakhand,9991
West Bengal,97677
