Location name,Amount spent (PLN)
Greater Poland Voivodeship,6020
Kuyavian-Pomeranian Voivodeship,2998
Lesser Poland Voivodeship,5142
Lower Silesian Voivodeship,4887
Lublin Voivodeship,2276
Lubusz Voivodeship,1797
Masovian Voivodeship,9963
Opole Voivodeship,1400
Podkarpackie Voivodeship,2442
Podlaskie Voivodeship,1223
Pomeranian Voivodeship,3532
Silesian Voivodeship,6016
Unknown,≤100
Warmian-Masurian Voivodeship,1585
West Pomeranian Voivodeship,3611
Łódź Voivodeship,6701
Świętokrzyskie Voivodeship,1597
