Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,676
Bicol Region,6493
Cagayan Valley,1653
Calabarzon,14484
Caraga,1243
Central Luzon,6179
Central Visayas,4905
Cordillera Administrative Region,1113
Davao Region,3035
Eastern Visayas,2087
Ilocos Region,2632
Metro Manila,17058
Mimaropa,2343
Northern Mindanao,3400
Soccsksargen,1838
Unknown,≤100
Western Visayas,7331
Zamboanga Peninsula,1850
