Location name,Amount spent (RON)
Alba County,383
Arad County,575
Argeș County,591
Bacău County,977
Bihor County,708
Bistrița-Năsăud County,362
Botoșani County,464
Brașov County,959
Brăila County,372
Bucharest,2701
Buzău County,438
Caraș-Severin County,295
Cluj County,957
Constanța County,824
Covasna County,299
Călărași County,241
Dolj County,1064
Dâmbovița County,460
Galați County,737
Giurgiu County,244
Gorj County,391
Harghita County,527
Hunedoara County,676
Ialomița County,294
Iași County,1658
Ilfov County,407
Maramureș County,604
Mehedinți County,291
Mureș County,665
Neamț County,723
Olt County,314
Prahova County,1196
Satu Mare County,445
Sibiu County,407
Suceava County,659
Sălaj County,319
Teleorman County,330
Timiș County,757
Tulcea County,202
Unknown,≤100
Vaslui County,409
Vrancea County,390
Vâlcea County,514
