Location name,Amount spent (NZD)
Auckland Region,2064
Bay of Plenty Region,350
Canterbury,769
Gisborne District,≤100
Hawke's Bay,172
Manawatu-Wanganui,245
Marlborough Region,≤100
Nelson Province,≤100
Northland Region,189
Otago,309
Southland,104
Taranaki,122
Tasman District,≤100
Unknown,≤100
Waikato,511
Wellington Region,590
West Coast,≤100
