Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,644
Bicol Region,4024
Cagayan Valley,3468
Calabarzon,11763
Caraga,1742
Central Luzon,10721
Central Visayas,6318
Cordillera Administrative Region,1044
Davao Region,2993
Eastern Visayas,3527
Ilocos Region,3230
Metro Manila,12672
Mimaropa,1633
Northern Mindanao,5189
Soccsksargen,2598
Unknown,≤100
Western Visayas,5842
Zamboanga Peninsula,2164
