Location name,Amount spent (PKR)
Azad Kashmir,813
Balochistan,1188
Federally Administered Tribal Areas,192
Gilgit-Baltistan,451
Islamabad Capital Territory,15654
Khyber Pakhtunkhwa,36213
Punjab,25955
Sindh,10875
Unknown,≤100
